parent,child,os,expected,risk_if_unexpected,mitre_id,context,notes
cmd.exe,bitsadmin.exe,windows,conditional,medium,T1197,Admin tooling may use this,Verify URL/file targets
cmd.exe,powershell.exe,windows,conditional,medium,T1059.001,Normal for admin scripts,Check full command chain
iexplore.exe,cmd.exe,windows,false,high,T1189,,Browser exploitation spawning shell
iexplore.exe,powershell.exe,windows,false,critical,T1189,,Browser exploitation spawning PowerShell
chrome.exe,cmd.exe,windows,false,high,T1189,,Browser spawning shell - exploit or extension abuse
msedge.exe,cmd.exe,windows,false,high,T1189,,Browser spawning shell
firefox.exe,cmd.exe,windows,false,high,T1189,,Browser spawning shell
w3wp.exe,cmd.exe,windows,false,critical,T1505.003,,IIS webshell execution
w3wp.exe,powershell.exe,windows,false,critical,T1505.003,,IIS webshell executing PowerShell
w3wp.exe,certutil.exe,windows,false,critical,T1105,,IIS process downloading files
httpd.exe,cmd.exe,windows,false,critical,T1505.003,,Apache webshell
httpd.exe,powershell.exe,windows,false,critical,T1505.003,,Apache webshell executing PowerShell
tomcat*.exe,cmd.exe,windows,false,critical,T1505.003,,Tomcat webshell
sqlservr.exe,cmd.exe,windows,false,critical,T1505.001,,SQL Server command execution - xp_cmdshell
sqlservr.exe,powershell.exe,windows,false,critical,T1505.001,,SQL Server executing PowerShell
msdtc.exe,cmd.exe,windows,false,high,T1218,,MSDTC abuse
consent.exe,*,windows,false,high,T1548.002,,UAC bypass indicator
fodhelper.exe,cmd.exe,windows,false,critical,T1548.002,,UAC bypass via fodhelper
fodhelper.exe,powershell.exe,windows,false,critical,T1548.002,,UAC bypass via fodhelper
computerdefaults.exe,cmd.exe,windows,false,critical,T1548.002,,UAC bypass via computerdefaults
sdclt.exe,cmd.exe,windows,false,critical,T1548.002,,UAC bypass via sdclt
systemd,sshd,linux,true,low,,,SSH daemon startup
systemd,cron,linux,true,low,,,Cron daemon startup
systemd,systemd-*,linux,true,low,,,Systemd helper processes
sshd,bash,linux,true,low,,,User SSH login session
sshd,sh,linux,true,low,,,User SSH login session
sshd,zsh,linux,true,low,,,User SSH login session
cron,sh,linux,conditional,medium,T1053.003,Normal for scheduled cron jobs,Verify cron job owner and script
cron,bash,linux,conditional,medium,T1053.003,Normal for scheduled cron jobs,Verify cron job owner and script
cron,python*,linux,conditional,medium,T1053.003,Normal for scheduled scripts,Verify script path and owner
apache2,sh,linux,false,critical,T1505.003,,Web server spawning shell - webshell indicator
apache2,bash,linux,false,critical,T1505.003,,Web server spawning shell - webshell indicator
apache2,python*,linux,false,critical,T1505.003,,Web server spawning interpreter - webshell
nginx,sh,linux,false,critical,T1505.003,,Web server spawning shell - webshell indicator
nginx,bash,linux,false,critical,T1505.003,,Web server spawning shell - webshell indicator
java,sh,linux,false,high,T1059.004,Legitimate for some app servers,Verify application context
java,bash,linux,false,high,T1059.004,Legitimate for some app servers,Verify application context
tomcat,sh,linux,false,critical,T1505.003,,Tomcat webshell execution
postgres,sh,linux,false,high,T1505.001,,Database command execution
postgres,bash,linux,false,high,T1505.001,,Database command execution
mysqld,sh,linux,false,high,T1505.001,,Database command execution
node,sh,linux,conditional,medium,T1059.004,Legitimate for npm scripts/builds,Verify if expected in deployment
python*,sh,linux,conditional,medium,T1059.004,Legitimate for subprocess calls,Verify script context
