filename,binary_name,primary_path,categories,mitre_ids,risk,description
cmdkey.exe,Cmdkey.exe,C:\Windows\System32\cmdkey.exe,Credentials,T1078,high,creates; lists; and deletes stored user names and passwords or credentials.
cmdl32.exe,cmdl32.exe,C:\Windows\System32\cmdl32.exe,Download,T1105,medium,Microsoft Connection Manager Auto-Download
cmstp.exe,Cmstp.exe,C:\Windows\System32\cmstp.exe,AWL Bypass|Execute,T1218.003,high,Installs or removes a Connection Manager service profile.
colorcpl.exe,Colorcpl.exe,C:\Windows\System32\colorcpl.exe,Copy,T1036.005,low,Binary that handles color management
computerdefaults.exe,ComputerDefaults.exe,C:\Windows\System32\ComputerDefaults.exe,UAC Bypass,T1548.002,high,ComputerDefaults.exe is a Windows system utility for managing default applications for tasks like web browsing; emailing; and media playback.
comsvcs.dll,Comsvcs.dll,c:\windows\system32\comsvcs.dll,Dump,T1003.001,low,COM+ Services
configsecuritypolicy.exe,ConfigSecurityPolicy.exe,C:\Program Files\Windows Defender\ConfigSecurityPolicy.exe,Download|Upload,T1105|T1567,medium,Binary part of Windows Defender. Used to manage settings in Windows Defender. You can configure different pilot collections for each of the co-management workloads. Being able to use different pilot collections allows you to take a more granular approach when shifting workloads.
conhost.exe,Conhost.exe,c:\windows\system32\conhost.exe,Execute,T1202,high,Console Window host
control.exe,Control.exe,C:\Windows\System32\control.exe,ADS|Execute,T1218.002,high,Binary used to launch controlpanel items in Windows
coregen.exe,coregen.exe,C:\Program Files\Microsoft Silverlight\5.1.50918.0\coregen.exe,AWL Bypass|Execute,T1055|T1218,high,"Binary coregen.exe (Microsoft CoreCLR Native Image Generator) loads exported function GetCLRRuntimeHost from coreclr.dll or from .DLL in arbitrary path. Coregen is located within ""C:\Program Files (x86)\Microsoft Silverlight\5.1.50918.0\"" or another version of Silverlight. Coregen is signed by Microsoft and bundled with Microsoft Silverlight."
createdump.exe,Createdump.exe,C:\Program Files\dotnet\shared\Microsoft.NETCore.App\<version>\createdump.exe,Dump,T1003,low,Microsoft .NET Runtime Crash Dump Generator (included in .NET Core)
csc.exe,Csc.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Csc.exe,Compile,T1127,medium,Binary file used by .NET Framework to compile C# code
cscript.exe,Cscript.exe,C:\Windows\System32\cscript.exe,ADS,T1564.004,low,Binary used to execute scripts in Windows
csi.exe,csi.exe,c:\Program Files (x86)\Microsoft Visual Studio\2017\Community\MSBuild\15.0\Bin\Roslyn\csi.exe,Execute,T1127,high,Command line interface included with Visual Studio.
customshellhost.exe,CustomShellHost.exe,C:\Windows\System32\CustomShellHost.exe,Execute,T1218,high,A host process that is used by custom shells when using Windows in Kiosk mode.
datasvcutil.exe,DataSvcUtil.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\DataSvcUtil.exe,Upload,T1567,medium,DataSvcUtil.exe is a command-line tool provided by WCF Data Services that consumes an Open Data Protocol (OData) feed and generates the client data service classes that are needed to access a data service from a .NET Framework client application.
defaultpack.exe,DefaultPack.EXE,C:\Program Files (x86)\Microsoft\DefaultPack\DefaultPack.exe,Execute,T1218,high,This binary can be downloaded along side multiple software downloads on the Microsoft website. It gets downloaded when the user forgets to uncheck the option to set Bing as the default search provider.
desk.cpl,Desk.cpl,C:\Windows\System32\desk.cpl,Execute,T1218.011,high,Desktop Settings Control Panel
desktopimgdownldr.exe,Desktopimgdownldr.exe,c:\windows\system32\desktopimgdownldr.exe,Download,T1105,medium,Windows binary used to configure lockscreen/desktop image
devicecredentialdeployment.exe,DeviceCredentialDeployment.exe,C:\Windows\System32\DeviceCredentialDeployment.exe,Conceal,T1564,low,Device Credential Deployment
devinit.exe,Devinit.exe,C:\Program Files\Microsoft Visual Studio\<version>\Community\Common7\Tools\devinit\devinit.exe,Execute,T1218.007,high,Visual Studio 2019 tool
devtoolslauncher.exe,Devtoolslauncher.exe,c:\windows\system32\devtoolslauncher.exe,Execute,T1127,high,Binary will execute specified binary. Part of VS/VScode installation.
devtunnel.exe,devtunnel.exe,C:\Users\<username>\AppData\Local\Temp\.net\devtunnel\devtunnel.exe,Download,T1105,medium,Binary to enable forwarded ports on windows operating systems.
dfshim.dll,Dfshim.dll,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Dfsvc.exe,AWL Bypass,T1127.002,high,ClickOnce engine in Windows used by .NET
dfsvc.exe,Dfsvc.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Dfsvc.exe,AWL Bypass,T1127.002,high,ClickOnce engine in Windows used by .NET
diantz.exe,Diantz.exe,c:\windows\system32\diantz.exe,ADS|Download|Execute,T1036|T1105|T1564.004,high,Binary that package existing files into a cabinet (.cab) file
diskshadow.exe,Diskshadow.exe,C:\Windows\System32\diskshadow.exe,Dump|Execute,T1003.003|T1202,high,Diskshadow.exe is a tool that exposes the functionality offered by the volume shadow copy Service (VSS).
dnscmd.exe,Dnscmd.exe,C:\Windows\System32\Dnscmd.exe,Execute,T1543.003,high,A command-line interface for managing DNS servers
dnx.exe,dnx.exe,no default,Execute,T1127,high,.NET Execution environment file included with .NET.
dotnet.exe,Dotnet.exe,C:\Program Files\dotnet\dotnet.exe,AWL Bypass|Execute,T1059|T1218,high,dotnet.exe comes with .NET Framework
dsdbutil.exe,dsdbutil.exe,C:\Windows\System32\dsdbutil.exe,Dump,T1003.003,low,Dsdbutil is a command-line tool that is built into Windows Server. It is available if you have the AD LDS server role installed. Can be used as a command line utility to export Active Directory.
dtutil.exe,dtutil.exe,C:\Program Files\Microsoft SQL Server\<version>\DTS\Binn\dtutil.exe,Copy,T1105,low,Microsoft command line utility used to manage SQL Server Integration Services packages.
dump64.exe,Dump64.exe,C:\Program Files (x86)\Microsoft Visual Studio\Installer\Feedback\dump64.exe,Dump,T1003.001,low,Memory dump tool that comes with Microsoft Visual Studio
dumpminitool.exe,DumpMinitool.exe,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Extensions\TestPlatform\Extensions\DumpMinitool.exe,Dump,T1003.001,low,Dump tool part Visual Studio 2022
dxcap.exe,Dxcap.exe,C:\Windows\System32\dxcap.exe,Execute,T1127,high,DirectX diagnostics/debugger included with Visual Studio.
ecmangen.exe,ECMangen.exe,C:\Program Files (x86)\Microsoft SDKs\Windows\<version>\Bin\ECMangen.exe,Download,T1105,medium,Command-line tool for managing certificates in Microsoft Exchange Server.
esentutl.exe,Esentutl.exe,C:\Windows\System32\esentutl.exe,ADS|Copy|Download,T1003.003|T1105|T1564.004,medium,Binary for working with Microsoft Joint Engine Technology (JET) database
eudcedit.exe,Eudcedit.exe,c:\windows\system32\eudcedit.exe,UAC Bypass,T1548.002,high,Private Character Editor Windows Utility
eventvwr.exe,Eventvwr.exe,C:\Windows\System32\eventvwr.exe,UAC Bypass,T1548.002,high,Displays Windows Event Logs in a GUI window.
excel.exe,Excel.exe,C:\Program Files (x86)\Microsoft Office 16\ClientX86\Root\Office16\Excel.exe,Download,T1105,medium,Microsoft Office binary
expand.exe,Expand.exe,C:\Windows\System32\Expand.exe,ADS|Copy|Download,T1105|T1564.004,medium,Binary that expands one or more compressed files
explorer.exe,Explorer.exe,C:\Windows\explorer.exe,Execute,T1202,high,Binary used for managing files and system components within Windows
extexport.exe,Extexport.exe,C:\Program Files\Internet Explorer\Extexport.exe,Execute,T1218,high,Load a DLL located in the c:\test folder with a specific name.
extrac32.exe,Extrac32.exe,C:\Windows\System32\extrac32.exe,ADS|Copy|Download,T1105|T1564.004,medium,Extract to ADS; copy or overwrite a file with Extrac32.exe
findstr.exe,Findstr.exe,C:\Windows\System32\findstr.exe,ADS|Credentials|Download,T1105|T1552.001|T1564.004,high,Write to ADS; discover; or download files with Findstr.exe
finger.exe,Finger.exe,c:\windows\system32\finger.exe,Download,T1105,medium,Displays information about a user or users on a specified remote computer that is running the Finger service or daemon
fltmc.exe,fltMC.exe,C:\Windows\System32\fltMC.exe,Tamper,T1562.001,low,Filter Manager Control Program used by Windows
forfiles.exe,Forfiles.exe,C:\Windows\System32\forfiles.exe,ADS|Execute,T1202|T1564.004,high,Selects and executes a command on a file or set of files. This command is useful for batch processing.
fsi.exe,Fsi.exe,C:\Program Files\dotnet\sdk\<version>\FSharp\fsi.exe,AWL Bypass,T1059,high,64-bit FSharp (F#) Interpreter included with Visual Studio and DotNet Core SDK.
fsianycpu.exe,FsiAnyCpu.exe,c:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\Common7\IDE\CommonExtensions\Microsoft\FSharp\fsianycpu.exe,AWL Bypass,T1059,high,32/64-bit FSharp (F#) Interpreter included with Visual Studio.
fsutil.exe,Fsutil.exe,C:\Windows\System32\fsutil.exe,Execute|Tamper,T1218|T1485,high,File System Utility
ftp.exe,Ftp.exe,C:\Windows\System32\ftp.exe,Download|Execute,T1105|T1202,high,A binary designed for connecting to FTP servers
gpscript.exe,Gpscript.exe,C:\Windows\System32\gpscript.exe,Execute,T1218,high,Used by group policy to process scripts
hh.exe,Hh.exe,C:\Windows\hh.exe,Download|Execute,T1105|T1218.001,high,Binary used for processing chm files in Windows
ie4uinit.exe,Ie4uinit.exe,c:\windows\system32\ie4uinit.exe,Execute,T1218,high,Executes commands from a specially prepared ie4uinit.inf file.
ieadvpack.dll,Ieadvpack.dll,c:\windows\system32\ieadvpack.dll,AWL Bypass|Execute,T1218.011,high,INF installer for Internet Explorer. Has much of the same functionality as advpack.dll.
iediagcmd.exe,iediagcmd.exe,C:\Program Files\Internet Explorer\iediagcmd.exe,Execute,T1218,high,Diagnostics Utility for Internet Explorer
ieexec.exe,Ieexec.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ieexec.exe,Download|Execute,T1105|T1218,high,The IEExec.exe application is an undocumented Microsoft .NET Framework application that is included with the .NET Framework. You can use the IEExec.exe application as a host to run other managed applications that you start by using a URL.
ieframe.dll,Ieframe.dll,c:\windows\system32\ieframe.dll,Execute,T1218.011,high,Internet Browser DLL for translating HTML code.
ilasm.exe,Ilasm.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\ilasm.exe,Compile,T1127,medium,used for compile c# code into dll or exe.
imewdbld.exe,IMEWDBLD.exe,C:\Windows\System32\IME\SHARED\IMEWDBLD.exe,Download,T1105,medium,Microsoft IME Open Extended Dictionary Module
infdefaultinstall.exe,Infdefaultinstall.exe,C:\Windows\System32\Infdefaultinstall.exe,Execute,T1218,high,Binary used to perform installation based on content inside inf files
installutil.exe,Installutil.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\InstallUtil.exe,AWL Bypass|Download|Execute,T1105|T1218.004,high,The Installer tool is a command-line utility that allows you to install and uninstall server resources by executing the installer components in specified assemblies
intellitrace.exe,IntelliTrace.exe,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\IntelliTrace\IntelliTrace.exe,Execute,T1127,high,Visual Studio command-line tool for collecting and managing diagnostic trace files.
iscsicpl.exe,iscsicpl.exe,c:\windows\system32\iscsicpl.exe,UAC Bypass,T1548.002,high,Microsoft iSCSI Initiator Control Panel tool
jsc.exe,Jsc.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Jsc.exe,Compile,T1127,medium,Binary file used by .NET to compile JavaScript code to .exe or .dll format
launch-vsdevshell.ps1,Launch-VsDevShell.ps1,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\Tools\Launch-VsDevShell.ps1,Execute,T1216,high,Locates and imports a Developer PowerShell module and calls the Enter-VsDevShell cmdlet
ldifde.exe,Ldifde.exe,c:\windows\system32\ldifde.exe,Download,T1105,medium,Creates; modifies; and deletes LDAP directory objects.
logger.exe,Logger.exe,C:\Program Files (x86)\Windows Kits\10\Debuggers\x86\logger.exe,Execute,T1202,high,A logging configuration tool from the Windows Kits used to start and manage process logging.
makecab.exe,Makecab.exe,C:\Windows\System32\makecab.exe,ADS|Download|Execute,T1036|T1105|T1564.004,high,Binary to package existing files into a cabinet (.cab) file
manage-bde.wsf,Manage-bde.wsf,C:\Windows\System32\manage-bde.wsf,Execute,T1216,high,Script for managing BitLocker
mavinject.exe,Mavinject.exe,C:\Windows\System32\mavinject.exe,ADS|Execute,T1218.013|T1564.004,high,Used by App-v in Windows
mftrace.exe,Mftrace.exe,C:\Program Files (x86)\Windows Kits\10\bin\10.0.16299.0\x86\mftrace.exe,Execute,T1127,high,Trace log generation tool for Media Foundation Tools.
microsoft.nodejstools.pressanykey.exe,Microsoft.NodejsTools.PressAnyKey.exe,C:\Program Files\Microsoft Visual Studio\<version>\Community\Common7\IDE\Extensions\Microsoft\NodeJsTools\NodeJsTools\Microsoft.NodejsTools.PressAnyKey.exe,Execute,T1127,high,Part of the NodeJS Visual Studio tools.
microsoft.workflow.compiler.exe,Microsoft.Workflow.Compiler.exe,C:\Windows\Microsoft.Net\Framework64\v4.0.30319\Microsoft.Workflow.Compiler.exe,AWL Bypass|Execute,T1127,high,A utility included with .NET that is capable of compiling and executing C# or VB.net code.
mmc.exe,Mmc.exe,C:\Windows\System32\mmc.exe,Download|Execute|UAC Bypass,T1218.014,high,Load snap-ins to locally and remotely manage Windows systems
mpcmdrun.exe,MpCmdRun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2008.4-0\MpCmdRun.exe,ADS|Download,T1105|T1564.004,medium,Binary part of Windows Defender. Used to manage settings in Windows Defender
mpiexec.exe,Mpiexec.exe,C:\Program Files\Microsoft MPI\Bin\mpiexec.exe,Execute,T1127,high,Command-line tool for running Message Passing Interface (MPI) applications.
msaccess.exe,MSAccess.exe,C:\Program Files (x86)\Microsoft Office 16\ClientX86\Root\Office16\MSAccess.exe,Download,T1105,medium,Microsoft Office component
msbuild.exe,Msbuild.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Msbuild.exe,AWL Bypass|Execute,T1036|T1127.001,high,Used to compile and execute code
mscopilot.exe,Mscopilot.exe,C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe,Execute,T1218.015,high,Microsoft Copilot app
mscopilot_proxy.exe,Mscopilot_proxy.exe,C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot_proxy.exe,Execute,T1218.015,high,Microsoft Copilot proxy launcher
msconfig.exe,Msconfig.exe,C:\Windows\System32\msconfig.exe,Execute,T1218,high,MSConfig is a troubleshooting tool which is used to temporarily disable or re-enable software; device drivers or Windows services that run during startup process to help the user determine the cause of a problem with Windows
msdeploy.exe,Msdeploy.exe,C:\Program Files\IIS\Microsoft Web Deploy V2\msdeploy.exe,AWL Bypass|Copy|Execute,T1105|T1218,high,Microsoft tool used to deploy Web Applications.
msdt.exe,Msdt.exe,C:\Windows\System32\Msdt.exe,AWL Bypass|Execute,T1202|T1218,high,Microsoft diagnostics tool
msedge.exe,Msedge.exe,c:\Program Files\Microsoft\Edge\Application\msedge.exe,Download|Execute,T1105|T1218.015,high,Microsoft Edge browser
msedge_proxy.exe,msedge_proxy.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge_proxy.exe,Download|Execute,T1105|T1218.015,high,Microsoft Edge Browser
msedgewebview2.exe,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\Edge\Application\114.0.1823.43\msedgewebview2.exe,Execute,T1218.015,high,msedgewebview2.exe is the executable file for Microsoft Edge WebView2; which is a web browser control used by applications to display web content.
mshta.exe,Mshta.exe,C:\Windows\System32\mshta.exe,ADS|Download|Execute,T1105|T1218.005,high,Used by Windows to execute html applications. (.hta)
mshtml.dll,Mshtml.dll,c:\windows\system32\mshtml.dll,Execute,T1218.011,high,Microsoft HTML Viewer
msiexec.exe,Msiexec.exe,C:\Windows\System32\msiexec.exe,Execute,T1218.007,high,Used by Windows to execute msi files
msohtmed.exe,MsoHtmEd.exe,C:\Program Files (x86)\Microsoft Office 16\ClientX86\Root\Office16\MSOHTMED.exe,Download,T1105,medium,Microsoft Office component
mspub.exe,Mspub.exe,C:\Program Files (x86)\Microsoft Office 16\ClientX86\Root\Office16\MSPUB.exe,Download,T1105,medium,Microsoft Publisher
msxsl.exe,msxsl.exe,no default,ADS|AWL Bypass|Download|Execute,T1105|T1220|T1564,high,Command line utility used to perform XSL transformations.
netsh.exe,Netsh.exe,C:\WINDOWS\System32\Netsh.exe,Execute,T1546.007,high,Netsh is a Windows tool used to manipulate network interface settings.
ngen.exe,Ngen.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\ngen.exe,Download,T1105,medium,Microsoft Native Image Generator.
nmcap.exe,Nmcap.exe,C:\Program Files\Microsoft Network Monitor 3\nmcap.exe,Reconnaissance,T1040,low,Command-line packet capture utility from Microsoft Network Monitor 3.x.
ntdsutil.exe,ntdsutil.exe,C:\Windows\System32\ntdsutil.exe,Dump,T1003.003,low,Command line utility used to export Active Directory.
ntsd.exe,Ntsd.exe,C:\Program Files (x86)\Windows Kits\10\Debuggers\x64\ntsd.exe,Execute,T1127,high,Symbolic Debugger for Windows.
odbcad32.exe,odbcad32.exe,c:\windows\system32\odbcad32.exe,UAC Bypass,T1548.002,high,ODBC Data Source Administrator to manage User/System DSNs and ODBC drivers.
odbcconf.exe,Odbcconf.exe,C:\Windows\System32\odbcconf.exe,Execute,T1218.008,high,Used in Windows for managing ODBC connections
offlinescannershell.exe,OfflineScannerShell.exe,C:\Program Files\Windows Defender\Offline\OfflineScannerShell.exe,Execute,T1218,high,Windows Defender Offline Shell
onedrivestandaloneupdater.exe,OneDriveStandaloneUpdater.exe,C:\Users\<username>\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,Download,T1105,medium,OneDrive Standalone Updater
openconsole.exe,OpenConsole.exe,C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\CommonExtensions\Microsoft\Terminal\ServiceHub\os64\OpenConsole.exe,Execute,T1202,high,Console Window host for Windows Terminal
pcalua.exe,Pcalua.exe,C:\Windows\System32\pcalua.exe,Execute,T1202,high,Program Compatibility Assistant
pcwrun.exe,Pcwrun.exe,C:\Windows\System32\pcwrun.exe,Execute,T1202|T1218,high,Program Compatibility Wizard
pcwutl.dll,Pcwutl.dll,c:\windows\system32\pcwutl.dll,Execute,T1218.011,high,Microsoft HTML Viewer
pester.bat,Pester.bat,c:\Program Files\WindowsPowerShell\Modules\Pester\<VERSION>\bin\Pester.bat,Execute,T1216,high,Used as part of the Powershell pester
photoviewer.dll,PhotoViewer.dll,C:\Program Files\Windows Photo Viewer\PhotoViewer.dll,Download,T1105,medium,Windows Photo Viewer
pixtool.exe,Pixtool.exe,C:\Program Files\Microsoft PIX\pixtool.exe,Execute,T1127,high,Command line utility for taking and analyzing PIX GPU captures.
pktmon.exe,Pktmon.exe,c:\windows\system32\pktmon.exe,Reconnaissance,T1040,low,Capture Network Packets on the windows 10 with October 2018 Update or later.
pnputil.exe,Pnputil.exe,C:\Windows\system32\pnputil.exe,Execute,T1547,high,Used for installing drivers
powerpnt.exe,Powerpnt.exe,C:\Program Files (x86)\Microsoft Office 16\ClientX86\Root\Office16\Powerpnt.exe,Download,T1105,medium,Microsoft Office binary.
presentationhost.exe,Presentationhost.exe,C:\Windows\System32\Presentationhost.exe,Download|Execute,T1105|T1218,high,File is used for executing Browser applications
print.exe,Print.exe,C:\Windows\System32\print.exe,ADS|Copy,T1105|T1564.004,low,Used by Windows to send files to the printer
printbrm.exe,PrintBrm.exe,C:\Windows\System32\spool\tools\PrintBrm.exe,ADS|Download,T1105|T1564.004,medium,Printer Migration Command-Line Tool
procdump.exe,Procdump.exe,no default,Execute,T1202,high,SysInternals Memory Dump Tool
protocolhandler.exe,ProtocolHandler.exe,C:\Program Files (x86)\Microsoft Office 16\ClientX86\Root\Office16\ProtocolHandler.exe,Download,T1105,medium,Microsoft Office binary
provlaunch.exe,Provlaunch.exe,c:\windows\system32\provlaunch.exe,Execute,T1218,high,Launcher process
psr.exe,Psr.exe,c:\windows\system32\psr.exe,Reconnaissance,T1113,low,Windows Problem Steps Recorder; used to record screen and clicks.
pubprn.vbs,Pubprn.vbs,C:\Windows\System32\Printing_Admin_Scripts\en-US\pubprn.vbs,Execute,T1216.001,high,Proxy execution with Pubprn.vbs
query.exe,Query.exe,c:\windows\system32\query.exe,Execute,T1218,high,Remote Desktop Services MultiUser Query Utility
rasautou.exe,Rasautou.exe,C:\Windows\System32\rasautou.exe,Execute,T1218,high,Windows Remote Access Dialer
rcsi.exe,rcsi.exe,no default,AWL Bypass|Execute,T1127,high,Non-Interactive command line inerface included with Visual Studio.
rdrleakdiag.exe,rdrleakdiag.exe,c:\windows\system32\rdrleakdiag.exe,Dump,T1003|T1003.001,low,Microsoft Windows resource leak diagnostic tool
reg.exe,Reg.exe,C:\Windows\System32\reg.exe,ADS|Credentials,T1003.002|T1564.004,high,Used to manipulate the registry
regasm.exe,Regasm.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\regasm.exe,AWL Bypass|Execute,T1218.009,high,Part of .NET
regedit.exe,Regedit.exe,C:\Windows\regedit.exe,ADS,T1564.004,low,Used by Windows to manipulate registry
regini.exe,Regini.exe,C:\Windows\System32\regini.exe,ADS,T1564.004,low,Used to manipulate the registry
register-cimprovider.exe,Register-cimprovider.exe,C:\Windows\System32\Register-cimprovider.exe,Execute,T1218,high,Used to register new wmi providers
regsvcs.exe,Regsvcs.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\RegSvcs.exe,AWL Bypass|Execute,T1218.009,high,Regsvcs and Regasm are Windows command-line utilities that are used to register .NET Component Object Model (COM) assemblies
regsvr32.exe,Regsvr32.exe,C:\Windows\System32\regsvr32.exe,AWL Bypass|Execute,T1218.010,high,Used by Windows to register dlls
remote.exe,Remote.exe,C:\Program Files (x86)\Windows Kits\10\Debuggers\x64\remote.exe,AWL Bypass|Execute,T1127,high,Debugging tool included with Windows Debugging Tools
replace.exe,Replace.exe,C:\Windows\System32\replace.exe,Copy|Download,T1105,medium,Used to replace file with another file
reset.exe,Reset.exe,c:\windows\system32\reset.exe,Execute,T1218,high,Remote Desktop Services Reset Utility
rpcping.exe,Rpcping.exe,C:\Windows\System32\rpcping.exe,Credentials,T1003|T1187,high,Used to verify rpc connection
rundll32.exe,Rundll32.exe,C:\Windows\System32\rundll32.exe,ADS|Execute,T1218.011|T1564.004,high,Used by Windows to execute dll files
runexehelper.exe,Runexehelper.exe,c:\windows\system32\runexehelper.exe,Execute,T1218,high,Launcher process
runonce.exe,Runonce.exe,C:\Windows\System32\runonce.exe,Execute,T1218,high,Executes a Run Once Task that has been configured in the registry
runscripthelper.exe,Runscripthelper.exe,C:\Windows\WinSxS\amd64_microsoft-windows-u..ed-telemetry-client_31bf3856ad364e35_10.0.16299.15_none_c2df1bba78111118\Runscripthelper.exe,Execute,T1218,high,Execute target PowerShell script
sc.exe,Sc.exe,C:\Windows\System32\sc.exe,ADS,T1564.004,low,Used by Windows to manage services
schtasks.exe,Schtasks.exe,c:\windows\system32\schtasks.exe,Execute,T1053.005,high,Schedule periodic tasks
scriptrunner.exe,Scriptrunner.exe,C:\Windows\System32\scriptrunner.exe,Execute,T1202|T1218,high,Execute binary through proxy binary to evade defensive counter measures
scrobj.dll,Scrobj.dll,c:\windows\system32\scrobj.dll,Download,T1105,medium,Windows Script Component Runtime
setres.exe,Setres.exe,c:\windows\system32\setres.exe,Execute,T1218,high,Configures display settings
settingsynchost.exe,SettingSyncHost.exe,C:\Windows\System32\SettingSyncHost.exe,Execute,T1218,high,Host Process for Setting Synchronization
